timestamp,window_id,slug,status,llm_side,llm_confidence,llm_strength,llm_reason,llm_risk,key_drivers,result_winner,result_correct,current_atr,secs_to_start,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,up_bid,up_ask,down_bid,down_ask
1780567082350,1,btc-updown-5m-1780567200,ok,UP,0.5500,weak,"Positive short-term velocity suggests upward momentum, though negative acceleration indicates the trend is slowing down.",The decelerating trend could lead to a reversal or flat action right at the window open.,Positive raw velocity of 1.43 USD/sec | Smoothed velocity remains positive at 0.69 USD/sec | Negative acceleration of -0.58 USD/sec^2 suggests momentum is tapering off,,,102.4357,120,63088.7791,1.428385,0.687540,-0.579831,0.5000,0.5100,0.5000,0.5100
1780567382714,2,btc-updown-5m-1780567500,ok,UP,0.5800,medium,"Positive smoothed velocity indicates upward momentum leading into the window, despite slight deceleration.",Decelerating momentum could lead to a trend reversal or flat trading near the strike price.,Positive smoothed velocity of 0.2235 USD/sec | Raw velocity remains positive at 0.0995 USD/sec | Slight deceleration of -0.0520 USD/sec2 suggests the upward move is maturing but still active,,,102.4357,120,63122.8702,0.099529,0.223475,-0.051999,0.5100,0.5200,0.4900,0.5000
1780567499695,1,btc-updown-5m-1780567200,result,UP,0.5500,weak,"Positive short-term velocity suggests upward momentum, though negative acceleration indicates the trend is slowing down.",The decelerating trend could lead to a reversal or flat action right at the window open.,Positive raw velocity of 1.43 USD/sec | Smoothed velocity remains positive at 0.69 USD/sec | Negative acceleration of -0.58 USD/sec^2 suggests momentum is tapering off,DOWN,false,102.4357,0,62968.0293,1.148126,-0.065146,-0.019344,0.0100,0.0100,0.9900,1.0000
1780567682767,3,btc-updown-5m-1780567800,ok,UP,0.6500,medium,"Positive raw and smoothed velocities indicate upward momentum leading into the window, despite minor deceleration.",Negative acceleration could lead to a momentum reversal or flattening before the window lock-in.,Positive raw velocity of 1.09 USD/sec | Smoothed velocity remains positive at 0.65 USD/sec | Slight negative acceleration suggests momentum may be peaking but remains net positive,,,102.4357,120,62889.6884,1.090538,0.653063,-0.115170,0.5000,0.5100,0.5000,0.5100
1780567799696,2,btc-updown-5m-1780567500,result,UP,0.5800,medium,"Positive smoothed velocity indicates upward momentum leading into the window, despite slight deceleration.",Decelerating momentum could lead to a trend reversal or flat trading near the strike price.,Positive smoothed velocity of 0.2235 USD/sec | Raw velocity remains positive at 0.0995 USD/sec | Slight deceleration of -0.0520 USD/sec2 suggests the upward move is maturing but still active,DOWN,false,102.4357,0,62841.1911,1.375478,1.137395,-0.115286,0.0100,0.0200,0.9900,1.0000
1780567982182,4,btc-updown-5m-1780568100,ok,UP,0.6500,medium,"Positive smoothed velocity of 1.79 USD/sec indicates upward momentum leading into the window open, despite minor deceleration.",Slight negative acceleration suggests the upward momentum may be slowing down as the window opens.,Strong positive smoothed velocity of 1.79 USD/sec | Raw velocity remains positive at 1.29 USD/sec | Upward price trend established in the minutes preceding the window,,,95.2143,120,62898.3430,1.292890,1.790425,-0.115988,0.5100,0.5200,0.4900,0.5000
1780568099698,3,btc-updown-5m-1780567800,result,UP,0.6500,medium,"Positive raw and smoothed velocities indicate upward momentum leading into the window, despite minor deceleration.",Negative acceleration could lead to a momentum reversal or flattening before the window lock-in.,Positive raw velocity of 1.09 USD/sec | Smoothed velocity remains positive at 0.65 USD/sec | Slight negative acceleration suggests momentum may be peaking but remains net positive,DOWN,false,95.3929,0,62794.5796,-0.644701,-0.737646,0.174952,0.0100,0.0100,0.9900,1.0000
1780568282534,5,btc-updown-5m-1780568400,ok,UP,0.6500,medium,Positive raw and smoothed velocity combined with positive acceleration indicates sustained upward momentum leading into the window open.,High 1-minute ATR of 93.46 USD indicates elevated volatility which could easily trigger a sharp reversal before the window closes.,Smoothed velocity of +1.53 USD/sec shows consistent upward movement | Positive acceleration of +0.27 USD/sec^2 suggests the upward trend is gaining strength | Current spot is positioned favorably relative to the short-term momentum vector,,,93.4571,120,62822.0178,0.882947,1.525650,0.268567,0.5000,0.5100,0.5000,0.5100
1780568399698,4,btc-updown-5m-1780568100,result,UP,0.6500,medium,"Positive smoothed velocity of 1.79 USD/sec indicates upward momentum leading into the window open, despite minor deceleration.",Slight negative acceleration suggests the upward momentum may be slowing down as the window opens.,Strong positive smoothed velocity of 1.79 USD/sec | Raw velocity remains positive at 1.29 USD/sec | Upward price trend established in the minutes preceding the window,UP,true,91.0714,0,62899.5014,-0.469345,-0.944511,0.053320,0.9900,1.0000,0.0100,0.0200
1780568582121,6,btc-updown-5m-1780568700,ok,UP,0.6500,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window, despite minor deceleration.",Slightly negative acceleration suggests the upward momentum could be slowing down before the window starts.,Positive smoothed velocity of 1.06 USD/sec | Raw velocity remains positive at 1.47 USD/sec | Price is in a short-term upward trajectory ahead of the window open,,,92.4214,120,62805.1072,1.469459,1.058881,-0.130812,0.5000,0.5100,0.5000,0.5100
