timestamp,window_id,slug,status,llm_side,llm_confidence,llm_strength,llm_reason,llm_risk,key_drivers,result_winner,result_correct,current_atr,secs_to_start,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,up_bid,up_ask,down_bid,down_ask
1780560782949,1,btc-updown-15m-1780560900,ok,UP,0.6200,medium,Positive smoothed velocity and positive acceleration suggest upward momentum is building despite a minor short-term dip.,Negative raw velocity indicates immediate short-term selling pressure that could persist into the window open.,Positive smoothed velocity of 0.115 USD/sec | Positive acceleration of 0.032 USD/sec² indicating upward momentum is strengthening | UP contract is slightly favored by the market but still close to parity range,,,93.7571,120,63344.9022,-0.233975,0.115124,0.032495,0.5300,0.5500,0.4700,0.4800
1780561681999,2,btc-updown-15m-1780561800,ok,DOWN,0.7500,strong,Strong negative velocity and accelerating downward momentum indicate a high probability of continued downward movement leading into the window open.,A sudden mean-reversion bounce near the round number support could invalidate the short-term bearish momentum.,Negative smoothed velocity of -0.73 USD/sec | Negative acceleration of -0.50 USD/sec² confirming downward momentum | Consistent downward raw velocity over the pre-open period,,,130.6357,120,63388.7643,-0.561852,-0.730338,-0.503879,0.5100,0.5200,0.4900,0.5000
1780561799544,1,btc-updown-15m-1780560900,result,UP,0.6200,medium,Positive smoothed velocity and positive acceleration suggest upward momentum is building despite a minor short-term dip.,Negative raw velocity indicates immediate short-term selling pressure that could persist into the window open.,Positive smoothed velocity of 0.115 USD/sec | Positive acceleration of 0.032 USD/sec² indicating upward momentum is strengthening | UP contract is slightly favored by the market but still close to parity range,UP,true,130.0857,0,63412.4323,-1.386076,-1.732843,0.212226,0.9900,1.0000,0.0100,0.0100
1780562582284,3,btc-updown-15m-1780562700,ok,DOWN,0.7500,medium,Strong negative velocity and negative acceleration indicate persistent downward momentum leading into the window open.,A sudden mean-reversion bounce near the window open could invalidate the short-term downward trend.,Negative smoothed velocity of -2.35 USD/sec | Negative acceleration of -0.77 USD/sec2 | Downside momentum is established 2 minutes prior to start,,,97.5000,120,63411.4988,-2.294210,-2.347462,-0.771770,0.5100,0.5200,0.4900,0.5000
1780562699541,2,btc-updown-15m-1780561800,result,DOWN,0.7500,strong,Strong negative velocity and accelerating downward momentum indicate a high probability of continued downward movement leading into the window open.,A sudden mean-reversion bounce near the round number support could invalidate the short-term bearish momentum.,Negative smoothed velocity of -0.73 USD/sec | Negative acceleration of -0.50 USD/sec² confirming downward momentum | Consistent downward raw velocity over the pre-open period,DOWN,true,108.1143,0,63344.6287,-0.316240,-0.101373,0.107905,0.0100,0.0100,0.9900,1.0000
1780563482442,4,btc-updown-15m-1780563600,ok,UP,0.6500,medium,Positive raw and smoothed velocity indicate upward price momentum leading into the window open.,Slightly negative acceleration suggests the upward momentum could be decelerating as the window opens.,Positive smoothed velocity of 0.65 USD/sec | Raw velocity remains positive at 0.75 USD/sec | Price stabilizing above 63.5k with moderate 1m ATR,,,87.0857,120,63566.8773,0.751464,0.649829,-0.056667,0.5000,0.5100,0.5000,0.5100
1780563599542,3,btc-updown-15m-1780562700,result,DOWN,0.7500,medium,Strong negative velocity and negative acceleration indicate persistent downward momentum leading into the window open.,A sudden mean-reversion bounce near the window open could invalidate the short-term downward trend.,Negative smoothed velocity of -2.35 USD/sec | Negative acceleration of -0.77 USD/sec2 | Downside momentum is established 2 minutes prior to start,UP,false,85.1357,0,63550.0785,-0.498391,-0.326539,0.111830,0.9900,1.0000,0.0100,0.0100
1780564384452,5,btc-updown-15m-1780564500,ok,DOWN,0.5500,medium,"Negative raw and smoothed velocities indicate strong downward momentum leading into the window, despite positive acceleration suggesting deceleration.",Positive acceleration could trigger a trend reversal or mean reversion upward before the window opens.,Negative raw velocity of -2.87 USD/sec | Negative smoothed velocity of -2.42 USD/sec | Positive acceleration of 2.01 USD/sec2 indicating potential deceleration of the downward move,,,89.6714,120,63168.4096,-2.869617,-2.421439,2.006312,0.5000,0.5100,0.5000,0.5100
1780564499543,4,btc-updown-15m-1780563600,result,UP,0.6500,medium,Positive raw and smoothed velocity indicate upward price momentum leading into the window open.,Slightly negative acceleration suggests the upward momentum could be decelerating as the window opens.,Positive smoothed velocity of 0.65 USD/sec | Raw velocity remains positive at 0.75 USD/sec | Price stabilizing above 63.5k with moderate 1m ATR,DOWN,false,98.7357,0,63270.5054,-0.675178,-1.333128,0.019950,0.0010,0.0040,0.9990,1.0090
1780565283354,6,btc-updown-15m-1780565400,ok,UP,0.6500,medium,Positive velocity and acceleration indicate upward momentum leading into the window open.,High 1-minute ATR of 94.25 USD indicates elevated volatility which could cause rapid trend reversal.,Positive raw velocity of 4.37 USD/sec | Positive acceleration of 0.20 USD/sec2 | Smoothed velocity remains consistently positive at 3.93 USD/sec,,,94.2500,120,62883.9308,4.367108,3.927612,0.197588,0.5300,0.5400,0.4700,0.4800
